title,author,binding,isbn,publisher,publication_date,categories,url,length,width,height,sales_price,stock_quantity
AFTER SHE FALLS,"Schober, Carmen",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764239298B/after-she-falls,8.46,5.63,1.02,1.75,43
"AFTER THE BITE (ARGENEAU NOVEL, BK. 35 - LARGE PRINT)","Sands, Lynsay",Paperback,9780060000000.0,HarperLuxe,,"['Fiction', 'Romance', 'Fiction', 'Fantasy', 'Fiction', 'Thrillers']",https://www.bookdepot.com/Store/Details/9780063097520B/after-the-bite-argeneau-novel-bk-35---large-p,9.06,6.08,1.1,3.19,60
"AFTER THE BITE (ARGENEAU, BK. 35)","Sands, Lynsay",Pocket Books,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Occult', 'Fiction', 'Thrillers']",https://www.bookdepot.com/Store/Details/9780063111554B/after-the-bite-argeneau-bk-35,6.57,4.14,1.17,1.75,767
"AGAINST THE WIND (SECRETS OF SWEETWATER CROSSING, BK. 2)","Cabot, Amanda",Paperback,9780800000000.0,Revell,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780800740658B/against-the-wind-secrets-of-sweetwater-crossi,8.47,5.5,1.16,3.0,58
AIMING FOR LOVE (BRIDES OF HOPE MOUNTAIN BK. 1),"Connealy, Mary",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764232589B/aiming-for-love-brides-of-hope-mountain-bk-1,8.5,6.0,1.0,2.5,2
ALL I WANT FOR CHRISTMAS,"Knox, Maggie",Paperback,9780740000000.0,Viking Books,,"['Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9780735241121B/all-i-want-for-christmas,7.98,5.23,0.92,2.37,67
ALL I WANT FROM SANTA,"Jackson, Lisa",Pocket Books,9781420000000.0,Zebra Books,,"['Fiction', 'Holidays', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781420152937B/all-i-want-from-santa,7.51,4.11,0.82,2.5,35
ALL IT TAKES (A ROMANCING MANHATTAN NOVEL),"Proby, Kristen",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780062892676B/all-it-takes-a-romancing-manhattan-novel,9.25,4.87,1.14,2.75,1
ALL ROADS LEAD HOME: TWO GREAT NOVELS IN ONE (A FRIEND OR TWO/REFLECTIONS OF YESTERDAY),"Macomber, Debbie",Pocket Books,9780590000000.0,Ballantine Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780593359822B/all-roads-lead-home-two-great-novels-in-one-a,6.83,4.11,1.36,2.5,117
ALL THAT GLITTERS,"Steel, Danielle",Hardcover,9780400000000.0,Delacorte Press,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9780399179686B/all-that-glitters,8.86,6.09,1.13,1.88,197
"ALL THAT WE ARE TOGETHER (LET IT BE, BK. 2)","Kellen, Alice",Paperback,9781730000000.0,Sourcebooks,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781728283791B/all-that-we-are-together-let-it-be-bk-2,8.22,5.49,1.32,3.0,245
"ALL THE COLORS OF NIGHT (FOGG LAKE, BK. 2)","Krentz, Jayne Ann",Pocket Books,9781980000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Thrillers', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9781984806826B/all-the-colors-of-night-fogg-lake-bk-2,6.72,4.18,1.52,1.5,62
ALL THE RIGHT NOTES,"Lim, Dominic",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781538725382B/all-the-right-notes,7.94,5.17,1.14,3.0,70
"ALMOST HEAVEN (THE SEQUELS SERIES, BK. 3)","McNaught, Judith",Paperback,9781980000000.0,Pocket Books,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781982199944B/almost-heaven-the-sequels-series-bk-3,6.8,4.68,2.0,1.31,77
ALMOST HOME,"Macomber, Debbie",Paperback,9781500000000.0,Kensington Publishing Corporation,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Anthologies (multiple authors)']",https://www.bookdepot.com/Store/Details/9781496745453B/almost-home,8.19,5.46,1.31,3.0,7
"ALONG CAME A LADY (ALL THE DUKE'S SINS, BK. 1)","Caldwell, Christi",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593334911B/along-came-a-lady-all-the-dukes-sins-bk-1,6.77,4.19,1.0,1.0,40
ALONG THE RIO GRANDE (LOVE ON THE SANTA FE),"Peterson, Tracie",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780764237294B/along-the-rio-grande-love-on-the-santa-fe,8.49,5.52,1.1,3.0,36
"ALONG THE RIO GRANDE (LOVE ON THE SANTA FE, BK. 1)","Peterson, Tracie",Hardcover,9780760000000.0,Bethany House,,"['Fiction', 'Religious', 'Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780764237300B/along-the-rio-grande-love-on-the-santa-fe-bk,8.85,5.8,1.24,2.44,1
"ALPHA NIGHT (PSY-CHANGELING TRINITY, BK. 4)","Singh, Nalini",Hardcover,9781980000000.0,Berkley Hardcover,,"['Fiction', 'Romance', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9781984803627B/alpha-night-psy-changeling-trinity-bk-4,9.35,6.2,1.33,2.63,12
"ALWAYS BE MY DUCHESS (TAMING OF THE DUKES, BK. 1)","Howard, Amalie",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781538737712B/always-be-my-duchess-taming-of-the-dukes-bk-1,7.98,5.26,1.1,2.75,14
"ALWAYS HER COWBOY (RUSTLERS CREEK, BK. 3)","Fox, Addison",Pocket Books,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Westerns']",https://www.bookdepot.com/Store/Details/9780063135307B/always-her-cowboy-rustlers-creek-bk-3,6.52,4.04,1.23,1.88,411
"ALWAYS, IN DECEMBER","Stone, Emily",Pocket Books,9780590000000.0,Dell,,"['Fiction', 'Holidays', 'Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593722084B/always-in-december,7.51,4.15,1.04,2.5,114
ALY'S HOUSE,"Meacham, Leila",Paperback,9781460000000.0,Grand Central Publishing,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781455541379B/alys-house,8.0,5.5,1.0,1.75,1
AMELIA GREY'S FIRESIDE DREAM,"Clements, Abby",Paperback,9781780000000.0,Quercus,,"['Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781782064305B/amelia-greys-fireside-dream,7.74,5.06,1.02,1.75,3
AMERICAN PRINCESS: A NOVEL OF FIRST DAUGHTER ALICE ROOSEVELT,"Thornton, Stephanie Marie",Paperback,9780450000000.0,Berkley Publishing Group,,"['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Biographical']",https://www.bookdepot.com/Store/Details/9780451490902B/american-princess-a-novel-of-first-daughter-a,8.02,5.24,1.0,2.06,619
AMERICAN ROYALTY,"Livesay, Tracey",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780063084506B/american-royalty,7.95,5.27,1.14,1.38,92
THE AMISH HAWAIIAN ADVENTURES: TWO AMISH ROMANCES BLOSSOM ON THE ISLAND OF KAUAI,"Brunstetter, Wanda E.",Paperback,9781640000000.0,Shiloh Run Press,,"['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9781643522043B/the-amish-hawaiian-adventures-two-amish-roman,8.38,5.54,1.54,1.5,19
AN AMISH CHRISTMAS STAR,"Gray, Shelley Shepard",Paperback,9781500000000.0,Kensington Publishing Corporation,,"['Fiction', 'Romance', 'Fiction', 'Religious', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781496734259B/an-amish-christmas-star,8.17,5.47,1.08,2.87,10
AN AMISH CRADLE (FOUR NOVELLAS),"Wiseman, Beth",Paperback,9780530000000.0,Thomas Nelson,,"['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780529118677B/an-amish-cradle-four-novellas,8.41,5.49,1.1,2.75,6
AN AMISH SCHOOLROOM: THREE STORIES,"Clipston, Amy",Pocket Books,9780840000000.0,Zondervan,,"['Fiction', 'Romance', 'Fiction', 'Religious', 'Fiction', 'Anthologies (multiple authors)']",https://www.bookdepot.com/Store/Details/9780840707079B/an-amish-schoolroom-three-stories,7.0,5.0,1.0,2.5,17
"AN AMISH SURPRISE (BERLIN BOOKMOBILE, BK. 2)","Gray, Shelley Shepard",Paperback,9781980000000.0,Gallery Books,,"['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9781982148454B/an-amish-surprise-berlin-bookmobile-bk-2,8.28,5.37,0.87,1.38,156
AN ASTROLOGICAL GUIDE FOR BROKEN HEARTS,"Zucca, Silvia",Paperback,9781670000000.0,Atria Books,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781668004128B/an-astrological-guide-for-broken-hearts,8.21,5.4,1.07,3.5,13
"AN IMPOSSIBLE IMPOSTOR (A VERONICA SPEEDWELL MYSTERY, BK. 7)","Raybourn, Deanna",Hardcover,9780590000000.0,Berkley Hardcover,,"['Fiction', 'Romance', 'Fiction', 'Mystery & Detective']",https://www.bookdepot.com/Store/Details/9780593197295B/an-impossible-impostor-a-veronica-speedwell-m,9.25,6.27,1.3,3.5,763
AN ISLAND SUMMER,"Hale, Jenny",Paperback,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781538756065B/an-island-summer,7.99,4.92,0.87,3.0,831
AN ISLAND WEDDING,"Colgan, Jenny",Hardcover,9780060000000.0,Avon Books,,"['Fiction', 'Holidays', 'Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780063243132B/an-island-wedding,9.28,6.2,1.43,2.81,57
AN ISLAND WEDDING,"Colgan, Jenny",Paperback,9780060000000.0,HarperCollins Publishers,,"['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780063242340B/an-island-wedding,9.01,5.87,1.4,3.75,22
AN ISLAND WEDDING,"Colgan, Jenny",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Holidays', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780063141889B/an-island-wedding,7.96,5.23,1.12,3.0,4
"AN UNCONDITIONAL FREEDOM: AN EPIC LOVE STORY OF THE CIVIL WAR (THE LOYAL LEAGUE, BK. 3)","Cole, Alyssa",Paperback,9781500000000.0,Kensington Publishing Corporation,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'African American']",https://www.bookdepot.com/Store/Details/9781496739148B/an-unconditional-freedom-an-epic-love-story-o,8.25,5.5,1.0,3.0,26
"ANA MARÍA AND THE FOX (LUNA SISTERS, BK. 1)","De la Rosa, Liana",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593440889B/ana-maria-and-the-fox-luna-sisters-bk-1,7.92,5.1,1.12,3.0,100
ANGELIKA FRANKENSTEIN MAKES HER MATCH,"Thorne, Sally",Hardcover,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780063271630B/angelika-frankenstein-makes-her-match,9.28,6.22,1.4,1.88,167
ANGELS IN THE SNOW,"Becnel, Rexanne",Pocket Books,9781500000000.0,Pocket Books,,"['Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781501133329B/angels-in-the-snow,6.7,4.12,0.84,2.0,14
"ANGRY GOD (ALL SAINTS, BK. 3)","Shen, L. J.",Paperback,9781730000000.0,Bloom Books,,"['Fiction', 'Suspense', 'Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781728293639B/angry-god-all-saints-bk-3,8.2,5.57,1.24,3.0,929
ANNE OF MANHATTAN,"Starler, Brina",Paperback,9780060000000.0,William Morrow & Company,,"['Fiction', 'Romance', 'Fiction', 'Coming of Age', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9780063020740B/anne-of-manhattan,7.93,5.21,0.89,1.38,85
ANNIHILATION ROAD (TORPEDO INK),"Feehan, Christine",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9780593333204B/annihilation-road-torpedo-ink,6.73,4.12,1.25,1.5,58
ANTOINETTE'S SISTER,"Giovinazzo, Diana",Hardcover,9781540000000.0,Grand Central Publishing,,"['Fiction', 'Historical', 'Fiction', 'Family Life', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781538720127B/antoinettes-sister,9.29,6.31,1.44,1.88,105
"ANY ROGUE WILL DO (MISFITS OF MAYFAIR, BK. 1)","Bennett, Bethany",Pocket Books,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Sagas']",https://www.bookdepot.com/Store/Details/9781538735664B/any-rogue-will-do-misfits-of-mayfair-bk-1,6.72,4.07,1.12,2.0,235
"ANY TIME, ANY PLACE (THE BILLIONAIRE BUILDERS, BK. 2)","Probst, Jennifer",Paperback,9781500000000.0,Gallery Books,,"['Fiction', ""Women's Fiction"", 'Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781501124266B/any-time-any-place-the-billionaire-builders-b,8.31,5.3,1.1,1.37,2
"APHRODITE AND THE DUKE (THE DUBELLS, BK. 1)","McAvoy, J. J.",Pocket Books,9780590000000.0,Dell Publishing Company,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Cultural Heritage']",https://www.bookdepot.com/Store/Details/9780593594537B/aphrodite-and-the-duke-the-dubells-bk-1,7.51,4.24,1.06,2.5,91
"THE APOSTLE'S SISTER (JERUSALEM ROAD, BK. 4)","Hunt, Angela",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Religious', 'Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764233876B/the-apostles-sister-jerusalem-road-bk-4,8.48,5.54,1.2,2.75,3
"APRIL MAY FALL (MOMMY WARS, BK. 3)","Hovland, Christina",Paperback,9781650000000.0,"Entangled Publishing, LLC",,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781649370921B/april-may-fall-mommy-wars-bk-3,8.05,5.32,1.05,1.87,1
THE ARC,"Hoen, Tory Henwood",Hardcover,9781250000000.0,St. Martin's Press,,"['Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781250276773B/the-arc,9.53,6.4,1.3,1.5,67
"ARCHANGEL'S RESURRECTION (A GUILD HUNTER NOVEL, BK. 15)","Singh, Nalini",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Fantasy', 'Fiction', 'Occult']",https://www.bookdepot.com/Store/Details/9780593198162B/archangels-resurrection-a-guild-hunter-novel,6.71,4.08,1.25,1.69,5
ARMS OF LOVE,"Long, Kelly",Paperback,9781400000000.0,Thomas Nelson,,"['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9781401684969B/arms-of-love,8.44,5.53,0.9,2.75,27
THE ART OF SCANDAL,"Black, Regina",Hardcover,9781540000000.0,Grand Central Publishing,,"['Fiction', 'Romance', 'Fiction', 'African American', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781538722770B/the-art-of-scandal,9.36,6.17,1.2,3.75,586
AS DAWN BREAKS,"Breslin, Kate",Paperback,9780760000000.0,Bethany House,,"['Fiction', 'Romance', 'Fiction', 'Religious', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780764237485B/as-dawn-breaks,8.07,5.14,1.19,2.06,30
AS LONG AS YOU LOVE ME,"Leal, Marianna",Paperback,9781990000000.0,Wattpad Books,,"['Fiction', 'Romance', 'Fiction', 'Cultural Heritage']",https://www.bookdepot.com/Store/Details/9781990778346B/as-long-as-you-love-me,8.25,5.24,0.9,3.0,356
ASKING FOR TROUBLE,"Young, Elizabeth",Paperback,9780380000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780380818976B/asking-for-trouble,8.02,5.34,1.05,3.0,2
"ASPEN CROSSROADS (WHISPER CANYON ROMANCE, BK. 1)","Rosche, Janine",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780593335758B/aspen-crossroads-whisper-canyon-romance-bk-1,6.68,4.08,1.08,1.0,37
"AT FIRST SIGHT (JEREMY MARSH & LEXIE DARNELL, BK.2)","Sparks, Nicholas",Paperback,9781540000000.0,Grand Central Publishing,,"['Fiction', 'Romance', 'Fiction', 'Literary']",https://www.bookdepot.com/Store/Details/9781538766873B/at-first-sight-jeremy-marsh-lexie-darnell-bk2,8.0,5.23,0.96,3.25,1000
"AT LIGHTHOUSE POINT (THREE SISTERS ISLAND, BK. 2)","Fisher, Suzanne Woods",Paperback,9780800000000.0,Revell,,"['Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780800735005B/at-lighthouse-point-three-sisters-island-bk-2,8.44,5.51,0.89,2.75,1
AT SEA,"Fedor, Emma",Hardcover,9781980000000.0,Gallery Books,,"['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781982171544B/at-sea,9.27,6.22,1.23,3.75,1000
THE AU PAIR,"Rous, Emma",Pocket Books,9780590000000.0,Berkley Hills Books,,"['Fiction', 'Suspense', 'Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593199954B/the-au-pair,7.08,3.63,1.01,1.25,20
"AUTUMN GRACE (A SEASON NOVEL, BK. 2)","Ellis, Marianne",Pocket Books,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780593334898B/autumn-grace-a-season-novel-bk-2,6.77,4.13,0.91,1.0,97
"THE AWAKENING (THE DRAGON HEART LEGACY, BK. 1)","Roberts, Nora",Compact Disc,9781250000000.0,Macmillan Audio,,"['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781250770295B/the-awakening-the-dragon-heart-legacy-bk-1,5.87,5.1,0.63,5.0,4
"BABYCAKES (TALES OF THE CITY, #4)","Maupin, Armistead",Paperback,9780060000000.0,Harper Collins,,"['Fiction', 'Humorous', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780060924836B/babycakes-tales-of-the-city-4,8.03,5.23,0.83,3.0,25
"THE BACHELOR COWBOY (THE WYOMING COWBOYS SERIES, BK. 6)","Clare, Jessica",Pocket Books,9780590000000.0,Berkley Hardcover,,"['Fiction', 'Romance', 'Fiction', 'Westerns', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780593102022B/the-bachelor-cowboy-the-wyoming-cowboys-serie,6.75,4.14,0.98,1.75,1
THE BACKUP PLAN (LARGE PRINT),"Shalvis, Jill",Paperback,9780060000000.0,HarperLuxe,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780063297074B/the-backup-plan-large-print,9.02,6.0,1.08,4.75,32
"THE BACKUP PLAN (THE SUNRISE COVE, BK. 3)","Shalvis, Jill",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Humorous', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780063095472B/the-backup-plan-the-sunrise-cove-bk-3,8.01,5.34,0.98,1.5,98
BAD LUCK BRIDESMAID,"Greenberg, Alison Rose",Paperback,9781250000000.0,St. Martin's Griffin,,"['Fiction', 'Romance', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9781250791597B/bad-luck-bridesmaid,8.27,5.41,0.89,3.0,6
"BAD LUCK VAMPIRE (AN ARGENEAU NOVEL, BK. 36)","Sands, Lynsay",Paperback,9781400000000.0,Gollancz,,"['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781399612821B/bad-luck-vampire-an-argeneau-novel-bk-36,7.75,5.0,1.0,2.25,34
"BAD LUCK VAMPIRE (AN ARGENEAU NOVEL, BK. 36)","Sands, Lynsay",Pocket Books,9780060000000.0,Avon Books,,"['Fiction', 'Fantasy', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780063292109B/bad-luck-vampire-an-argeneau-novel-bk-36,6.5,4.25,1.0,2.5,597
"BALANCING ACT (LAKE IN THE CLOUDS, BK. 2)","March, Emily",Paperback,9781540000000.0,Forever,,"['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9781538707401B/balancing-act-lake-in-the-clouds-bk-2,7.98,5.08,1.09,3.25,316
THE BALLAD OF HATTIE TAYLOR,"Andersen, Susan",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593197868B/the-ballad-of-hattie-taylor,8.19,5.45,1.15,3.75,7
A BALLAD OF LOVE AND GLORY,"Grande, Reyna",Hardcover,9781980000000.0,Atria Books,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Literary']",https://www.bookdepot.com/Store/Details/9781982165260B/a-ballad-of-love-and-glory,9.32,6.23,1.47,1.88,512
"THE BALLROOM BLITZ (BUCKINGHAM, BK. 5)","Du Beke, Anton",Paperback,9781400000000.0,Orion,,"['Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781398710092B/the-ballroom-blitz-buckingham-bk-5,7.81,5.08,1.31,3.0,7
THE BALLROOM BLITZ,"Du Beke, Anton",Hardcover,9781400000000.0,Orion Publishing,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781398710085B/the-ballroom-blitz,9.5,6.5,1.5,3.75,2
"BARBARIAN LOVER (ICE PLANET BARBARIANS, BK. 3)","Dixon, Ruby",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Science Fiction']",https://www.bookdepot.com/Store/Details/9780593548967B/barbarian-lover-ice-planet-barbarians-bk-3,8.17,5.53,0.97,3.25,533
"BARBARIAN'S MATE (ICE PLANET BARBARIANS, SPECIAL EDITION)","Dixon, Ruby",Paperback,9780590000000.0,Berkley Publishing Group,,"['Fiction', 'Romance', 'Fiction', 'Science Fiction']",https://www.bookdepot.com/Store/Details/9780593639467B/barbarians-mate-ice-planet-barbarians-special,8.22,5.45,0.93,3.0,18
BAREFOOT,"Hilderbrand, Elin",Paperback,9780320000000.0,Back Bay Books,,"['Fiction', 'Contemporary', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780316407960B/barefoot,8.0,5.51,1.22,2.75,5
"BAREFOOT BEACH (HARMONY HARBOR, BK. 8)","Mason, Debbie",Pocket Books,9781540000000.0,Forever,,"['Fiction', 'Romance', 'Fiction', 'Sagas', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9781538731680B/barefoot-beach-harmony-harbor-bk-8,6.73,4.14,1.04,2.0,154
